Year,Category,Shared,Winner,Individual/ Organization,Gender,Place of Birth,Country_of_Birth,Continent,Year of Birth,Age,Country represented for Nobel Prize,Short Description,Description,Universities,Image,DBpedia Link,Profile
1902,Physics,,Pieter Zeeman,Individual,Male,Zonnemaire,Netherlands,Europe,1865,37,Netherlands,,Pieter Zeeman ( Dutch: [?ze?m?n]; 25 May 1865 – 9 October 1943) was a Dutch physicist who shared the 1902 Nobel Prize in Physics with Hendrik Lorentz for his discovery of the Zeeman effect.,Leiden University,http://upload.wikimedia.org/wikipedia/commons/a/a2/Pieter_Zeeman.jpg,http://dbpedia.org/page/Pieter_Zeeman,http://en.wikipedia.org/wiki/Pieter_Zeeman
1902,Peace,,Élie Ducommun,Individual,Male,Geneva,Switzerland,Europe,1833,69,Switzerland,Swiss Activist,"Élie Ducommun (19 February 1833, Genf – 7 December 1906, Bern ) was a peace activist. He is a winner of the 1902 Nobel Peace Prize, which he shared with Charles Albert Gobat.",,http://upload.wikimedia.org/wikipedia/commons//9/9a/Ducommun.jpg,http://dbpedia.org/page/%C3%89lie_Ducommun,http://en.wikipedia.org/wiki/%C3%89lie_Ducommun
1902,Peace,,Charles Albert Gobat,Individual,Male,Tramelan,Switzerland,Europe,1843,59,Switzerland,Swiss Politician And Lawyer,"Charles Albert Gobat (May 21, 1843 – March 16, 1914) was a Swiss lawyer, educational administrator, and politician who jointly received the Nobel Peace Prize with Élie Ducommun in 1902 for their leadership of the Permanent International Peace Bureau.",,http://upload.wikimedia.org/wikipedia/commons/9/9b/Charles_Albert_Gobat2.jpg,http://dbpedia.org/page/Charles_Albert_Gobat,http://en.wikipedia.org/wiki/Charles_Albert_Gobat
1903,Medicine / Physiology,,Niels Ryberg Finsen,Individual,Male,Tórshavn,Faroe Islands,Europe,1860,43,"Denmark, Faroe Islands",Physician And Scientist,"Niels Ryberg Finsen (December 15, 1860 – September 24, 1904) was a Faroese physician and scientist of Icelandic descent. He was awarded the Nobel Prize in Medicine and Physiology in 1903 ""in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science."" ",,http://upload.wikimedia.org/wikipedia/commons//8/88/Niels_ryberg.jpg,http://dbpedia.org/page/Niels_Ryberg_Finsen,http://en.wikipedia.org/wiki/Niels_Ryberg_Finsen
1903,Physics,,Pierre Curie,Individual,Male,Paris,France,Europe,1859,44,France,French Chemist,"Pierre Curie ( French: [ky?i]; 15 May 1859 – 19 April 1906) was a French physicist, a pioneer in crystallography, magnetism, piezoelectricity and radioactivity. In 1903 he received the Nobel Prize in Physics with his wife, Marie Sk?odowska-Curie, and Henri Becquerel, ""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel"".",Sorbonne,http://upload.wikimedia.org/wikipedia/commons/d/db/Pierre_Curie_by_Dujardin_c1906.jpg,http://dbpedia.org/page/Pierre_Curie,http://en.wikipedia.org/wiki/Pierre_Curie
1903,Physics,,Henri Becquerel,Individual,Male,Paris,France,Europe,1852,51,France,French Physicist,"Antoine Henri Becquerel (15 December 1852 – 25 August 1908) was a French physicist, Nobel laureate, and the discoverer of radioactivity along with Marie Sk?odowska-Curie and Pierre Curie, for which all three won the 1903 Nobel Prize in Physics. The SI unit for radioactivity, the becquerel (Bq), is named after him.","Institut des sciences et technologies de Paris, École Polytechnique",http://upload.wikimedia.org/wikipedia/commons/8/8e/Portrait_of_Antoine-Henri_Becquerel.jpg,http://dbpedia.org/page/Henri_Becquerel,http://en.wikipedia.org/wiki/Henri_Becquerel
1903,Literature,,Bjørnstjerne Bjørnson,Individual,Male,Kvikne,Norway,Europe,1832,71,Norway,Norwegian Writer,"Bjørnstjerne Martinius Bjørnson (8 December 1832 – 26 April 1910) was a Norwegian writer who received the 1903 Nobel Prize in Literature ""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit"". Bjørnson is considered to be one of The Four Greats ( De Fire Store ) among Norwegian writers, the others being Henrik Ibsen, Jonas Lie, and Alexander Kielland. Bjørnson is also celebrated for his lyrics to the Norwegian National Anthem, "" Ja, vi elsker dette landet "". ",,http://upload.wikimedia.org/wikipedia/commons/0/02/Bj%C3%B8rnson_bldsa_BB0803.jpg,http://dbpedia.org/page/Bj%C3%B8rnstjerne_Bj%C3%B8rnson,http://en.wikipedia.org/wiki/Bj%C3%B8rnstjerne_Bj%C3%B8rnson
1903,Physics,,Marie Curie,Individual,Female,Warsaw,Poland,Europe,1867,36,"France, France",Physicist And Chemist,"Marie Sk?odowska-Curie (7 November 1867 – 4 July 1934) was a Polish and naturalized-French physicist and chemist who conducted pioneering research on radioactivity. She was the first woman to win a Nobel Prize, the first person (and only woman) to win twice, the only person to win twice in multiple sciences, and was part of the Curie family legacy of five Nobel Prizes. She was also the first woman to become a professor at the University of Paris, and in 1995 became the first woman to be entombed on her own merits in the Panthéon in Paris.","University of Paris, Institut des sciences et technologies de Paris",http://upload.wikimedia.org/wikipedia/commons/7/7e/Marie_Curie_c1920.jpg,http://dbpedia.org/page/Marie_Curie,http://en.wikipedia.org/wiki/Marie_Curie
1903,Chemistry,,Svante Arrhenius,Individual,Male,Vik,Sweden,Europe,1859,44,Sweden,,"Svante August Arrhenius (19 February 1859 – 2 October 1927) was a Swedish scientist, originally a physicist, but often referred to as a chemist, and one of the founders of the science of physical chemistry. He received the Nobel Prize for Chemistry in 1903 and in 1905 became director of the Nobel Institute where he remained until his death. The Arrhenius equation, Arrhenius definition of an acid, lunar crater Arrhenius and the Arrhenius Labs at Stockholm University are named after him.","Uppsala University, Stockholm University",http://upload.wikimedia.org/wikipedia/commons/6/6c/Arrhenius2.jpg,http://dbpedia.org/page/Svante_Arrhenius,http://en.wikipedia.org/wiki/Svante_Arrhenius
1903,Peace,,Randal Cremer,Individual,Male,Fareham,United Kingdom,Europe,1828,75,United Kingdom,British Politician,"Sir William Randal Cremer (18 March 1828 – 22 July 1908) usually known by his middle name ""Randal"", was an English Liberal Member of Parliament, a pacifist, and a leading advocate for international arbitration.",,http://upload.wikimedia.org/wikipedia/commons//1/1e/Cremer.jpg,http://dbpedia.org/page/Randal_Cremer,http://en.wikipedia.org/wiki/Randal_Cremer
1904,Peace,,Institut de Droit International,Organization,Organization,,Belgium,Europe,,,Belgium,,"The Institut de Droit international ( IDI; French for ""Institute of International Law"") is an organization devoted to the study and development of international law, whose membership comprises the world's leading public international lawyers. In 1904 the Institute received the Nobel Peace Prize.",,http://upload.wikimedia.org/wikipedia/commons/6/61/Logo_of_Institut_de_Droit_International.svg,http://dbpedia.org/page/Institut_de_Droit_International,http://en.wikipedia.org/wiki/Institut_de_Droit_International
1904,Literature,,Frédéric Mistral,Individual,Male,Maillane,France,Europe,1830,74,France,French Writer And Lexicographer,"Frédéric Mistral ( Occitan: Frederic Mistral, 8 September 1830 – 25 March 1914) was a French writer and lexicographer of the Occitan language. Mistral received the 1904 Nobel Prize in Literature ""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Provençal philologist"". He was a founding member of Félibrige and a member of l' Académie de Marseille.",,http://upload.wikimedia.org/wikipedia/commons/9/97/Frederic_Mistral_portrait_photo.jpg,http://dbpedia.org/page/Fr%C3%A9d%C3%A9ric_Mistral,http://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Mistral
1904,Medicine / Physiology,,Ivan Pavlov,Individual,Male,Ryazan,Russia,Asia,1849,55,Russia,,"Ivan Petrovich Pavlov ( Russian: ????? ????????? ???????; IPA: [??van p???trov??t?? ?pavl?f]; 26 September [O.S. 14 September] 1849 – 27 February 1936) was a Russian physiologist known primarily for his work in classical conditioning. From his childhood days Pavlov demonstrated intellectual brilliance along with an unusual energy which he named ""the instinct for research"". Inspired by the progressive ideas which D. I. Pisarev, the most eminent of the Russian literary critics of the 1860s and I. M. Sechenov, the father of Russian physiology, were spreading, Pavlov abandoned his religious career and decided to devote his life to science. In 1870 he enrolled in the physics and mathematics faculty at the University of Saint Petersburg to take the course in natural science. Ivan Pavlov devoted his life to the study of physiology and sciences, making several remarkable discoveries and ideas that were passed on from generation to generation. He won the Nobel Prize for Physiology or Medicine in 1904. ",Saint Petersburg State University,http://upload.wikimedia.org/wikipedia/commons/7/7d/Ivan_Pavlov_NLM3.jpg,http://dbpedia.org/page/Ivan_Pavlov,http://en.wikipedia.org/wiki/Ivan_Pavlov
1904,Literature,,José Echegaray,Individual,Male,Madrid,Spain,Europe,1832,72,Spain,Spanish Mathematician,"José Echegaray y Eizaguirre (April 19, 1832 – September 14, 1916) was a Spanish civil engineer, mathematician, statesman, and one of the leading Spanish dramatists of the last quarter of the 19th century. He was awarded the 1904 Nobel Prize for Literature ""in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama"".",,http://upload.wikimedia.org/wikipedia/commons//9/9b/Jos%C3%A9_Echegaray_y_Eizaguirre.jpg,http://dbpedia.org/page/Jos%C3%A9_Echegaray,http://en.wikipedia.org/wiki/Jos%C3%A9_Echegaray
1904,Chemistry,,William Ramsay,Individual,Male,Glasgow,United Kingdom,Europe,1852,52,United Kingdom,,"Sir William Ramsay KCB FRS FRSE (1852–1916) was a Scottish chemist who discovered the noble gases and received the Nobel Prize in Chemistry in 1904 ""in recognition of his services in the discovery of the inert gaseous elements in air"" (along with his collaborator, Lord Rayleigh, who received the Nobel Prize in Physics that same year for their discovery of argon ). After the two men identified argon, Ramsay investigated other atmospheric gases. His work in isolating argon, helium, neon, krypton and xenon led to the development of a new section of the periodic table. ","University of Strathclyde, University of Tübingen",http://upload.wikimedia.org/wikipedia/commons/d/d2/William_Ramsay_working.jpg,http://dbpedia.org/page/William_Ramsay,http://en.wikipedia.org/wiki/William_Ramsay
1904,Physics,,Lord Rayleigh,Individual,Male,Maldon,United Kingdom,Europe,1842,62,United Kingdom,,"John William Strutt, 3rd Baron Rayleigh, OM, PRS ( /?re?li/; 12 November 1842 – 30 June 1919) was an English physicist who, with William Ramsay, discovered argon, an achievement for which he earned the Nobel Prize for Physics in 1904. He also discovered the phenomenon now called Rayleigh scattering, which can be used to explain why the sky is blue, and predicted the existence of the surface waves now known as Rayleigh waves. Rayleigh's textbook, The Theory of Sound, is still referred to by acoustic engineers today.",University of Cambridge,http://upload.wikimedia.org/wikipedia/commons/2/28/John_William_Strutt.jpg,"http://dbpedia.org/page/John_Strutt,_3rd_Baron_Rayleigh","http://en.wikipedia.org/wiki/John_Strutt,_3rd_Baron_Rayleigh"
1905,Peace,,Bertha von Suttner,Individual,Female,Prague,Czech Republic,Europe,1843,62,"Austria, Czech Republic",Austro-hungarian Writer,"Bertha Felicitas Sophie Freifrau von Suttner (Baroness Bertha von Suttner, née Countess Kinsky, Gräfin Kinsky von Wchinitz und Tettau; 9 June 1843 – 21 June 1914) was an Austrian pacifist and novelist. In 1905 she was the first woman to be awarded the Nobel Peace Prize, thus being the second female Nobel laureate after Marie Curie s 1903 award. ",,http://upload.wikimedia.org/wikipedia/commons/5/50/Bertha_von_Suttner_nobel.jpg,http://dbpedia.org/page/Bertha_von_Suttner,http://en.wikipedia.org/wiki/Bertha_von_Suttner
1905,Physics,,Philipp Lenard,Individual,Male,Bratislava,Czech Republic,Europe,1862,43,"Austria, Germany",German Physicist,"Philipp Eduard Anton von Lenard (June 7, 1862 – May 20, 1947), was a German physicist and the winner of the Nobel Prize for Physics in 1905 for his research on cathode rays and the discovery of many of their properties. He was a nationalist and anti-Semite; as an active proponent of the Nazi ideology, he had supported Adolf Hitler in the 1920s and was an important role model for the "" Deutsche Physik "" movement during the Nazi period.",Heidelberg University,http://upload.wikimedia.org/wikipedia/commons/1/1d/Phillipp_Lenard_in_1900.jpg,http://dbpedia.org/page/Philipp_Lenard,http://en.wikipedia.org/wiki/Philipp_Lenard
1905,Chemistry,,Adolf von Baeyer,Individual,Male,Germany,Germany,Europe,1835,70,Germany,Chemist,"Johann Friedrich Wilhelm Adolf von Baeyer ( German: [?ba??]; October 31, 1835 – August 20, 1917) was a German chemist who synthesized indigo, and was the 1905 recipient of the Nobel Prize in Chemistry. ",Humboldt University of Berlin,http://upload.wikimedia.org/wikipedia/commons/1/1b/Adolf_von_Baeyer_%281905%29.jpg,http://dbpedia.org/page/Adolf_von_Baeyer,http://en.wikipedia.org/wiki/Adolf_von_Baeyer
1905,Medicine / Physiology,,Robert Koch,Individual,Male,Clausthal,Germany,Europe,1843,62,Germany,German Physician And Bacteriologist,"Robert Heinrich Herman Koch (11 December 1843 – 27 May 1910) was a celebrated German physician and pioneering microbiologist. The founder of modern bacteriology, he is known for his role in identifying the specific causative agents of tuberculosis, cholera, and anthrax and for giving experimental support for the concept of infectious disease. In addition to his trail-blazing studies on these diseases, Koch created and improved laboratory technologies and techniques in the field of microbiology, and made key discoveries in public health. His research led to the creation of Koch’s postulates, a series of four generalized principles linking specific microorganisms to specific diseases that remain today the “gold standard” in medical microbiology. As a result of his groundbreaking research on tuberculosis, Koch received the Nobel Prize in Physiology or Medicine in 1905. ",University of Göttingen,http://upload.wikimedia.org/wikipedia/commons/9/99/Robert_Koch_BeW.jpg,http://dbpedia.org/page/Robert_Koch,http://en.wikipedia.org/wiki/Robert_Koch
1905,Literature,,Henryk Sienkiewicz,Individual,Male,Wola Okrzejska,Poland,Europe,1846,59,Poland,Polish Writer,"Henryk Adam Aleksander Pius Sienkiewicz ( Polish: [?x?nr?k ?adam al??ksand?r ?p?us ??n?k?ev?it??]; also known by the pseudonym ""Litwos"" [?litf?s]; 5 May 1846 – 15 November 1916) was a Polish journalist, Nobel Prize-winning novelist, and philanthropist. He is best remembered for his historical novels.",,http://upload.wikimedia.org/wikipedia/en9/94/Symbol_support_vote.svg,http://dbpedia.org/page/Henryk_Sienkiewicz,http://en.wikipedia.org/wiki/Henryk_Sienkiewicz
1906,Chemistry,,Henri Moissan,Individual,Male,Paris,France,Europe,1852,54,France,,"Ferdinand Frederick Henri Moissan (September 28, 1852 – February 20, 1907) was a French chemist who won the 1906 Nobel Prize in Chemistry for his work in isolating fluorine from its compounds. Moissan was one of the original members of the International Atomic Weights Committee.","École Pratique des Hautes études, Collège de Meaux",http://upload.wikimedia.org/wikipedia/commons/9/92/Henri_Moissan_HiRes.jpg,http://dbpedia.org/page/Henri_Moissan,http://en.wikipedia.org/wiki/Henri_Moissan
1906,Literature,,Giosuè Carducci,Individual,Male,Pietrasanta,Italy,Europe,1835,71,Italy,Italian Poet,"Giosuè Alessandro Giuseppe Carducci ( Italian: [d?ozu?? kar?dutt?i]; 27 July 1835 – 16 February 1907) was an Italian poet and teacher. He was very influential and was regarded as the official national poet of modern Italy. In 1906 he became the first Italian to receive the Nobel Prize in Literature ""not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces"".",,http://upload.wikimedia.org/wikipedia/commons/2/2f/Giosu%C3%A8_Carducci2.jpg,http://dbpedia.org/page/Giosu%C3%A8_Carducci,http://en.wikipedia.org/wiki/Giosu%C3%A8_Carducci
1906,Medicine / Physiology,,Camillo Golgi,Individual,Male,Corteno,Italy,Europe,1843,63,Italy,"Italian Neuroscientist And Anatomist, Anatomist","Camillo Golgi ( Italian: [ka?millo ???ld?i]; 7 July 1843 – 21 January 1926) was an Italian physician, pathologist, scientist, and Nobel laureate. Several structures and phenomena in anatomy and physiology are named for him, including the Golgi apparatus, the Golgi tendon organ, and the Golgi tendon reflex.",,http://upload.wikimedia.org/wikipedia/commons/5/5f/Camillo_Golgi.jpg,http://dbpedia.org/page/Camillo_Golgi,http://en.wikipedia.org/wiki/Camillo_Golgi
1906,Medicine / Physiology,,Santiago Ramón y Cajal,Individual,Male,Aragon,Spain,Europe,1852,54,Spain,Spanish Neuroscientist,"Santiago Ramón y Cajal ForMemRS ( Spanish: [san?tja?o ra?mon i ka?xal]; 1 May 1852 – 18 October 1934) was a Spanish pathologist, histologist, neuroscientist and Nobel laureate. His original pioneering investigations of the microscopic structure of the brain have led him to be designated by many as the father of modern neuroscience. His medical artistry was legendary, and hundreds of his drawings illustrating the delicate arborizations of brain cells are still in use for educational and training purposes. ",,http://upload.wikimedia.org/wikipedia/commons/3/30/Cajal-Restored.jpg,http://dbpedia.org/page/Santiago_Ram%C3%B3n_y_Cajal,http://en.wikipedia.org/wiki/Santiago_Ram%C3%B3n_y_Cajal
1906,Physics,,J. J. Thomson,Individual,Male,Cheetham Hill,United Kingdom,Europe,1856,50,United Kingdom,English Physicist,"Sir Joseph John ""J. J."" Thomson, OM, FRS ( /?t?ms?n/; 18 December 1856 – 30 August 1940) was an English physicist.","University of Manchester, University of Cambridge",http://upload.wikimedia.org/wikipedia/commons/c/c1/J.J_Thomson.jpg,http://dbpedia.org/page/J._J._Thomson,http://en.wikipedia.org/wiki/J._J._Thomson
1906,Peace,,Theodore Roosevelt,Individual,Male,New York City,United States of America,North America,1858,48,United States of America,,"Theodore ""T.R."" Roosevelt, Jr. ( /?ro?z?v?lt/ ROH-z?-velt ) (October 27, 1858 – January 6, 1919) was an American politician, author, naturalist, soldier, explorer, and historian who served as the 26th President of the United States. He was a leader of the Republican Party (GOP) and founder of the Progressive Party insurgency of 1912. He is known for his exuberant personality, range of interests and achievements, and his leadership of the Progressive Movement, as well as his ""cowboy"" persona and robust masculinity. Born into a wealthy family in New York City, Roosevelt was a sickly child who suffered from asthma. To overcome his physical weakness, he embraced a strenuous life. He was home-schooled and became an eager student of nature. He attended Harvard College where he studied biology, boxed, and developed an interest in naval affairs. He quickly entered politics, determined to become a member of the ruling class. In 1881 he was elected to the New York State Assembly, where he became a leader of the reform faction of the GOP. His book The Naval War of 1812 (1882) established him as a learned historian and writer.","Harvard University, Columbia University",http://upload.wikimedia.org/wikipedia/commons/e/eb/T_Roosevelt.jpg,http://dbpedia.org/page/Theodore_Roosevelt,http://en.wikipedia.org/wiki/Theodore_Roosevelt
1907,Medicine / Physiology,,Charles Louis Alphonse Laveran,Individual,Male,Paris,France,Europe,1845,62,France,French Physician,"Charles Louis Alphonse Laveran (18 June 1845 – 18 May 1922) was a French physician who won the Nobel Prize in Physiology or Medicine in 1907 for his discoveries of parasitic protozoans as causative agents of infectious diseases such as malaria and trypanosomiasis. Following his father, Louis Théodore Laveran, he took up military medicine as profession. He obtained his medical degree from University of Strasbourg in 1867.",University of Strasbourg,http://upload.wikimedia.org/wikipedia/commons/7/7f/Charles_Laveran_nobel.jpg,http://dbpedia.org/page/Charles_Louis_Alphonse_Laveran,http://en.wikipedia.org/wiki/Charles_Louis_Alphonse_Laveran
1907,Peace,,Louis Renault,Individual,Male,Autun,France,Europe,1843,64,France,French Jurist,"Louis Renault (May 21, 1843 – February 8, 1918) was a French jurist and educator, the cowinner in 1907 (with Ernesto Teodoro Moneta ) of the Nobel Prize for Peace.",,http://upload.wikimedia.org/wikipedia/commons//9/97/Louis_Renault_jurist.gif,http://dbpedia.org/page/Louis_Renault_(jurist),http://en.wikipedia.org/wiki/Louis_Renault_(jurist)
1907,Chemistry,,Eduard Buchner,Individual,Male,Munich,Germany,Europe,1860,47,Germany,German Biochemist,"Eduard Buchner (20 May 1860 – 13 August 1917) was a German chemist and zymologist, awarded with the 1907 Nobel Prize in Chemistry for his work on fermentation.",Ludwig Maximilian University of Munich,http://upload.wikimedia.org/wikipedia/commons/b/b2/Eduardbuchner.jpg,http://dbpedia.org/page/Eduard_Buchner,http://en.wikipedia.org/wiki/Eduard_Buchner
1907,Literature,,Rudyard Kipling,Individual,Male,Mumbai,India,Asia,1865,42,"India, United Kingdom",British Novelist And Poet,"Joseph Rudyard Kipling ( /?r?dj?rd?k?pl??/ RUD-y?d KIP-ling; 30 December 1865 – 18 January 1936) was an English short-story writer, poet, and novelist. He wrote tales and poems of British soldiers in India and stories for children. He was born in Bombay, in the Bombay Presidency of British India, and was taken by his family to England when he was five years old. ",,http://upload.wikimedia.org/wikipedia/commons/6/6f/Rudyard_Kipling.jpg,http://dbpedia.org/page/Rudyard_Kipling,http://en.wikipedia.org/wiki/Rudyard_Kipling
1907,Peace,,Ernesto Teodoro Moneta,Individual,Male,Milan,Italy,Europe,1833,74,Italy,,"Ernesto Teodoro Moneta (September 20, 1833, Milan, Lombardy – February 10, 1918) was an Italian journalist, nationalist, revolutionary soldier and later a pacifist and Nobel Peace Prize Laureate. He adopted the motto In varietate unitas!.",,http://upload.wikimedia.org/wikipedia/commons/7/7b/Ernesto_Teodoro_Moneta.jpg,http://dbpedia.org/page/Ernesto_Teodoro_Moneta,http://en.wikipedia.org/wiki/Ernesto_Teodoro_Moneta
